pid,fname,lname,position,goals,value,cid,fcid
1,Jael,Santiago,CF,1,9141,4,9
2,Carl,Aguilar,LWB,1,56095,7,5
3,Medge,Nielsen,GK,2,44843,7,9
4,Elizabeth,Jarvis,RM,2,89572,10,5
5,Gannon,Dunn,RCM,3,93961,2,15
6,Ayanna,Parks,LCM,3,91178,5,1
7,George,Randolph,LCB,4,53801,7,17
8,Cora,Bass,RWM,4,42408,4,7
9,Nelle,Hess,GK,5,1578,2,16
10,Kane,Thomas,RB,5,39535,7,17
11,Graham,Brennan,CB,6,35785,10,15
12,Olympia,Lamb,LCB,6,37762,3,19
13,Darryl,Hammond,RCB,7,38089,10,18
14,Ainsley,Howe,ST,7,26758,2,19
15,Chiquita,Lewis,CF,8,21345,3,2
16,Gretchen,Adams,RF,8,1838,1,6
17,Jorden,Ball,LM,9,82804,9,3
18,Tara,Goff,CF,9,17647,2,8
19,Aubrey,Le,ST,10,68819,7,11
20,Macaulay,Colon,RWM,10,87202,3,7
21,Bertha,Gibbs,RCB,11,59886,1,13
22,Dylan,Solis,CB,11,46540,5,15
23,Roth,Payne,RCB,12,95997,4,8
24,Malik,Hubbard,RWM,12,91361,3,1
25,Mia,Miles,RWB,13,87977,5,11
26,Fritz,Davidson,RB,13,4674,7,2
27,Yvette,Henry,CM,14,21692,7,12
28,Emma,Mosley,LCB,14,11731,4,14
29,Kieran,Maddox,LB,15,22977,7,6
30,Duncan,Hays,CB,15,76065,4,20
